carat,cut,color,clarity,depth,table,price,x,y,z
1.01,Good,E,I1,61.5,65.0,3484,6.28,6.21,3.84
0.53,Very Good,G,VS1,60.9,56.0,1636,5.24,5.27,3.2
0.54,Premium,E,VS2,60.0,58.0,1709,5.34,5.29,3.19
0.3,Very Good,G,VS1,63.4,55.0,725,4.32,4.26,2.72
0.4,Very Good,E,VVS2,59.8,60.0,1184,4.8,4.84,2.88
1.25,Premium,I,SI1,62.4,58.0,5740,6.89,6.85,4.29
0.37,Premium,G,VS1,59.2,61.0,957,4.7,4.63,2.76
0.73,Premium,E,VS1,61.2,58.0,3370,5.77,5.83,3.55
0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69
0.43,Ideal,F,VS2,61.1,57.0,1066,4.88,4.91,2.99
0.55,Very Good,E,SI1,58.5,65.0,1587,5.33,5.38,3.13
0.36,Very Good,E,VS2,62.8,56.0,789,4.51,4.54,2.84
0.33,Ideal,E,SI1,61.5,55.0,532,4.46,4.49,2.75
0.31,Ideal,G,IF,61.3,54.0,891,4.38,4.4,2.69
0.57,Very Good,F,VS2,59.5,57.0,1754,5.39,5.43,3.22
0.57,Premium,F,SI1,59.5,60.0,1676,5.43,5.42,3.23
1.5,Premium,F,VS2,61.5,58.0,14719,7.34,7.32,4.51
0.3,Ideal,F,VS2,60.9,56.0,776,4.35,4.32,2.64
1.6,Premium,I,SI1,62.1,58.0,8852,7.51,7.47,4.65
0.33,Ideal,F,VVS1,61.8,57.0,1021,4.47,4.43,2.75
2.0,Ideal,F,SI2,62.0,57.0,17871,8.1,8.03,5.0
0.51,Very Good,D,VS1,63.3,57.0,1882,5.07,5.1,3.22
0.5,Good,E,SI1,63.5,61.0,1279,4.98,5.03,3.18
1.7,Premium,J,VS2,61.0,59.0,9901,7.66,7.62,4.66
1.28,Very Good,F,VVS2,58.9,57.0,12285,7.13,7.17,4.21
0.43,Ideal,F,VVS1,62.3,55.0,1422,4.88,4.85,3.03
1.61,Ideal,G,SI1,61.2,55.0,11192,7.57,7.62,4.65
1.71,Premium,H,SI2,62.5,57.0,10687,7.67,7.62,4.78
1.5,Ideal,H,VVS2,61.3,56.0,8224,7.37,7.28,4.49
2.03,Ideal,F,SI2,61.4,58.0,18535,8.12,8.16,5.0
0.4,Ideal,I,VVS1,60.5,57.0,842,4.76,4.79,2.89
0.4,Ideal,E,VVS2,61.8,55.0,1158,4.74,4.78,2.94
0.6,Very Good,F,VS2,60.8,56.0,2270,5.45,5.48,3.32
0.8,Premium,F,VS2,61.6,58.0,3429,5.98,6.03,3.7
1.35,Premium,J,SI1,60.9,59.0,5546,7.07,7.12,4.32
0.3,Premium,I,VVS1,62.2,58.0,552,4.28,4.31,2.67
0.9,Premium,E,SI1,62.7,62.0,4092,6.22,6.1,3.85
0.5,Very Good,D,SI1,63.4,56.0,1354,5.01,5.06,3.19
0.6,Premium,D,SI1,60.4,60.0,1996,5.48,5.44,3.3
1.0,Very Good,G,SI2,63.1,63.0,3713,6.33,6.23,3.96
0.36,Premium,F,SI2,60.3,59.0,446,4.62,4.57,2.77
0.51,Ideal,G,VS1,60.9,56.0,1708,5.16,5.19,3.15
1.45,Fair,F,I1,64.8,67.0,4320,7.16,7.0,4.64
0.59,Premium,E,VS2,62.3,55.0,1883,5.43,5.39,3.37
0.43,Premium,D,SI1,61.0,58.0,993,4.88,4.83,2.96
1.03,Very Good,D,SI2,63.3,58.0,4963,6.38,6.42,4.05
1.06,Ideal,F,VS2,61.4,56.0,7641,6.56,6.61,4.04
0.27,Very Good,H,VVS1,61.2,57.0,504,4.15,4.18,2.55
1.01,Very Good,I,SI1,61.4,62.0,4693,6.39,6.45,3.94
0.81,Premium,D,VS1,62.3,58.0,4284,5.94,6.0,3.72
0.71,Very Good,H,VS2,59.2,63.0,2450,5.85,5.81,3.45
0.33,Premium,G,VS1,61.9,58.0,666,4.43,4.46,2.75
2.11,Ideal,I,VS1,61.9,57.0,16723,8.28,8.22,5.11
1.0,Very Good,J,SI2,62.8,63.0,3293,6.26,6.19,3.19
0.73,Premium,J,VS2,62.8,58.0,1654,5.77,5.71,3.6
0.71,Very Good,I,VVS2,62.5,57.0,2495,5.68,5.74,3.57
0.31,Premium,F,IF,61.6,58.0,1122,4.37,4.33,2.68
0.52,Ideal,E,VS2,60.5,56.0,1897,5.27,5.21,3.17
0.33,Very Good,E,SI1,60.2,58.0,579,4.49,4.55,2.72
0.23,Very Good,F,VVS2,61.3,60.0,465,3.98,4.01,2.45
1.0,Premium,F,SI1,62.9,57.0,4586,6.37,6.32,3.99
0.39,Ideal,H,VS2,62.0,54.4,670,4.67,4.72,2.91
0.71,Premium,H,IF,62.9,60.0,3349,5.74,5.67,3.59
0.5,Ideal,H,SI1,62.5,57.0,1140,5.06,5.08,3.17
0.36,Very Good,E,SI1,62.9,56.0,631,4.52,4.57,2.86
1.04,Very Good,D,SI1,58.9,58.0,6138,6.66,6.69,3.93
0.5,Ideal,I,VVS2,61.8,57.0,1322,5.09,5.11,3.15
0.42,Ideal,G,VS2,61.6,56.0,1087,4.83,4.82,2.97
0.3,Very Good,D,SI2,62.2,59.0,447,4.25,4.3,2.66
1.26,Very Good,F,IF,60.0,60.0,14095,7.04,7.09,4.24
1.51,Premium,G,VS2,61.2,61.0,13194,7.44,7.33,4.52
1.15,Premium,H,SI2,61.6,60.0,4743,6.72,6.75,4.15
0.9,Very Good,D,SI2,60.3,63.0,3534,6.12,6.22,3.72
0.52,Ideal,E,SI1,61.1,57.0,1656,5.2,5.17,3.16
1.6,Ideal,H,VS1,61.4,57.0,12566,7.53,7.59,4.64
0.6,Ideal,I,SI2,61.8,55.0,1009,5.44,5.46,3.37
1.06,Premium,J,SI2,62.9,59.0,3391,6.43,6.39,4.03
0.71,Premium,D,VS2,62.4,59.0,3161,5.73,5.68,3.56
0.4,Premium,F,VS1,61.4,58.0,1050,4.75,4.73,2.91
0.3,Ideal,G,VS1,62.3,56.0,605,4.29,4.32,2.68
1.23,Very Good,D,SI1,62.3,57.0,8079,6.8,6.87,4.26
0.31,Very Good,E,VS2,61.7,58.0,680,4.31,4.34,2.67
1.23,Ideal,I,SI1,62.0,57.0,5855,6.91,6.87,4.27
0.36,Very Good,E,VS2,61.3,60.0,789,4.55,4.59,2.8
0.61,Very Good,J,SI1,60.8,58.0,1149,5.46,5.49,3.33
0.71,Ideal,E,SI1,61.1,57.0,3128,5.75,5.77,3.52
1.52,Very Good,G,VS2,62.8,54.0,12359,7.26,7.36,4.59
0.9,Good,F,VVS1,64.2,56.0,6124,6.07,6.02,3.88
1.07,Premium,E,SI2,59.7,58.0,4943,6.66,6.68,3.98
0.56,Ideal,E,VS1,61.0,57.0,1978,5.32,5.34,3.25
0.92,Ideal,E,SI2,62.2,56.0,4011,6.2,6.24,3.87
0.31,Good,G,VS2,64.4,54.0,531,4.24,4.29,2.75
0.31,Premium,E,SI1,62.6,60.0,698,4.35,4.31,2.71
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
0.52,Very Good,G,VS1,61.2,57.0,1420,5.17,5.23,3.18
1.02,Ideal,D,SI2,58.9,61.0,4971,6.56,6.62,3.88
1.53,Premium,G,VS2,61.8,59.0,12602,7.31,7.45,4.56
0.91,Premium,D,SI2,62.7,59.0,3848,6.17,6.21,3.88
0.7,Premium,H,SI1,62.0,61.0,2176,6.65,5.69,3.46
0.78,Ideal,H,SI2,62.6,56.0,1909,5.88,5.81,3.66
1.5,Premium,I,SI2,62.9,57.0,6132,7.28,7.26,4.57
0.36,Good,G,SI1,63.3,56.0,537,4.5,4.53,2.86
0.31,Ideal,I,VVS1,61.6,55.0,557,4.36,4.41,2.7
0.43,Ideal,F,VS2,61.4,54.0,848,4.9,4.93,3.02
0.71,Fair,F,SI2,65.2,55.5,2103,5.52,5.58,3.62
0.9,Good,H,VS2,63.6,55.0,3775,6.14,6.09,3.89
0.31,Ideal,G,VS2,61.4,57.0,544,4.33,4.37,2.67
1.8,Ideal,F,SI1,61.9,56.0,14814,7.78,7.87,4.84
1.6,Very Good,H,SI1,63.2,55.0,9946,7.46,7.41,4.7
0.23,Very Good,E,VVS2,59.3,60.0,505,4.0,4.1,2.4
0.63,Ideal,E,VS1,61.5,56.0,2503,5.5,5.53,3.39
0.3,Ideal,F,VS2,60.7,57.0,605,4.29,4.34,2.62
0.59,Ideal,F,SI2,61.7,54.0,1195,5.4,5.46,3.35
1.01,Good,F,SI2,63.0,60.0,3827,6.28,6.35,3.98
0.3,Ideal,G,VS1,61.8,55.0,776,4.33,4.31,2.67
0.42,Very Good,E,VS2,61.9,59.0,958,4.75,4.81,2.96
0.9,Good,G,SI1,65.0,57.0,3615,5.96,6.01,3.89
1.39,Ideal,G,VVS2,61.4,54.0,12462,7.22,7.3,4.44
1.61,Premium,H,SI1,62.8,58.0,7754,7.47,7.4,4.67
0.91,Very Good,G,SI2,60.3,59.0,3189,6.23,6.28,3.77
0.71,Premium,F,VVS1,58.1,58.0,3347,5.92,5.88,3.43
1.0,Ideal,F,VVS2,61.3,53.0,10577,6.44,6.48,3.96
0.34,Ideal,G,IF,61.2,56.0,974,4.53,4.55,2.78
1.04,Premium,D,VVS2,61.1,60.0,10984,6.54,6.51,3.99
1.83,Fair,J,I1,70.0,58.0,5083,7.34,7.28,5.12
0.94,Very Good,E,SI2,62.0,60.0,3963,6.19,6.22,3.85
1.03,Ideal,I,SI1,62.2,58.0,4434,6.45,6.41,4.0
0.55,Very Good,I,SI1,63.6,57.0,1149,5.15,5.19,3.29
0.35,Fair,D,VVS2,53.2,62.0,1011,4.87,4.8,2.57
0.31,Ideal,G,IF,61.3,57.0,891,4.39,4.42,2.7
0.9,Very Good,G,SI2,62.4,55.0,3539,6.13,6.17,3.84
0.8,Ideal,G,SI1,60.8,57.0,2699,6.02,6.05,3.67
1.07,Very Good,I,VS2,62.5,56.0,4873,6.5,6.53,4.07
1.01,Premium,D,SI2,62.2,60.0,4672,6.43,6.4,3.99
1.07,Ideal,I,SI1,61.7,56.1,5002,6.57,6.59,4.06
1.01,Premium,G,VS1,59.8,59.0,6529,6.55,6.5,3.9
0.3,Very Good,D,VVS2,59.0,59.0,729,4.4,4.42,2.6
0.7,Ideal,F,SI1,61.3,57.0,2288,5.72,5.77,3.52
1.33,Premium,G,SI2,60.3,58.0,6685,7.19,7.16,4.33
0.7,Very Good,I,SI2,60.9,59.0,1603,5.7,5.76,3.49
1.01,Good,E,SI1,63.9,56.0,5724,6.37,6.31,4.05
1.02,Ideal,E,VVS1,61.3,57.0,11128,6.47,6.54,3.99
1.61,Ideal,I,SI1,62.7,55.0,9611,7.54,7.48,4.71
0.52,Ideal,G,VS1,62.1,54.0,1743,5.17,5.14,3.2
0.3,Ideal,E,VVS1,62.0,57.0,844,4.29,4.32,2.67
0.76,Very Good,H,VS2,58.7,61.0,2599,5.96,5.99,3.51
0.37,Very Good,E,VS1,60.2,56.0,925,4.68,4.71,2.83
1.28,Very Good,F,SI2,62.5,55.0,5223,6.91,7.0,4.35
0.25,Ideal,G,VS1,62.7,56.0,454,4.01,4.04,2.52
0.41,Ideal,D,SI1,63.0,57.0,920,4.7,4.64,2.94
2.08,Ideal,J,IF,61.0,55.0,17986,8.32,8.25,5.05
0.77,Very Good,H,VS1,61.0,60.0,2840,5.9,5.87,3.59
0.56,Ideal,G,IF,61.7,55.0,2298,5.29,5.34,3.28
0.54,Ideal,G,SI1,62.0,54.0,1368,5.25,5.27,3.26
1.57,Premium,G,VS1,59.9,56.0,14180,7.6,7.55,4.54
0.9,Premium,F,VS1,62.7,58.0,5088,6.14,6.17,3.86
1.0,Premium,I,SI2,61.6,59.0,3712,6.34,6.41,3.93
0.53,Premium,E,SI1,60.0,60.0,1607,5.27,5.24,3.21
0.71,Very Good,I,VS1,62.3,60.0,2326,5.69,5.73,3.56
2.01,Very Good,H,SI2,62.7,60.0,14768,7.94,8.03,5.01
0.52,Premium,D,SI1,59.7,60.0,1344,5.26,5.19,3.12
0.51,Very Good,H,VVS1,63.2,57.0,1744,5.06,5.1,3.21
0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
0.59,Ideal,I,VVS1,61.6,55.0,1698,5.4,5.45,3.34
0.32,Very Good,H,VS2,60.6,58.0,505,4.44,4.47,2.7
0.56,Very Good,E,SI1,60.2,57.0,1440,5.36,5.4,3.24
1.06,Good,F,SI2,62.2,61.0,4357,6.47,6.53,4.04
0.43,Very Good,F,VS2,61.3,59.0,905,4.81,4.84,2.96
0.48,Very Good,F,VVS1,62.3,55.0,1914,5.02,5.05,3.13
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
0.25,Very Good,E,VS2,61.3,57.0,480,4.05,4.08,2.49
1.01,Premium,E,SI1,58.2,59.0,5366,6.59,6.54,3.82
1.21,Premium,H,VS2,58.8,59.0,6708,7.01,6.98,4.11
0.34,Premium,D,SI2,60.6,60.0,650,4.53,4.48,2.73
0.31,Ideal,G,VVS1,60.6,57.0,816,4.38,4.4,2.66
1.03,Premium,E,VS2,61.3,61.0,5906,6.53,6.46,3.98
0.73,Fair,F,VS1,58.6,66.0,3002,5.92,5.88,3.46
0.54,Ideal,G,SI1,61.9,55.0,1736,5.24,5.26,3.25
1.21,Good,G,VS2,63.7,59.0,6906,6.59,6.67,4.22
0.53,Ideal,F,SI1,61.9,55.0,1639,5.19,5.21,3.22
1.2,Very Good,F,SI1,63.1,58.0,5638,6.75,6.68,4.24
0.9,Very Good,E,SI2,63.4,62.0,3084,6.02,6.0,3.81
1.33,Very Good,J,VS1,61.7,55.0,6442,7.07,7.12,4.38
0.48,Good,G,VS1,57.8,60.9,1262,5.12,5.19,2.97
0.31,Very Good,H,VS2,58.9,61.0,457,4.43,4.46,2.62
2.58,Very Good,D,SI2,58.9,63.0,14749,9.08,9.01,5.33
1.0,Ideal,D,SI1,62.5,55.0,6664,6.42,6.34,3.99
1.09,Ideal,E,VS2,60.7,57.0,9346,6.66,6.68,4.05
0.7,Good,E,SI1,63.3,60.0,2569,5.56,5.59,3.53
0.3,Premium,H,SI2,60.9,59.0,473,4.35,4.32,2.64
1.5,Premium,D,SI2,60.5,59.0,10206,7.37,7.27,4.43
0.71,Ideal,E,VS1,61.4,59.0,3198,5.71,5.75,3.52
0.3,Premium,E,IF,61.9,61.0,984,4.32,4.27,2.66
0.3,Ideal,E,VVS2,61.1,56.0,742,4.34,4.37,2.66
0.82,Very Good,H,SI1,63.6,56.0,2908,5.9,5.95,3.77
1.03,Premium,D,SI2,61.7,58.0,4764,6.5,6.47,4.0
0.58,Ideal,F,SI2,62.0,57.0,1239,5.32,5.35,3.31
1.0,Fair,D,SI1,65.5,60.0,5331,6.18,6.12,4.03
1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93
0.7,Premium,H,VS2,61.8,60.0,2330,5.68,5.71,3.52
2.18,Premium,H,SI2,59.1,60.0,17473,8.49,8.45,5.01
0.91,Very Good,G,SI1,62.2,57.0,3884,6.12,6.17,3.82
0.41,Good,E,VS2,63.1,64.0,981,4.66,4.63,2.93
0.3,Fair,E,VS1,56.3,62.0,640,4.47,4.49,2.52
0.36,Ideal,G,VVS2,61.6,57.0,776,4.58,4.62,2.83
1.22,Premium,D,SI1,62.3,60.0,5739,6.84,6.8,4.25
1.01,Premium,E,SI2,62.3,55.0,3674,6.35,6.29,3.94
0.72,Very Good,E,SI1,57.9,58.0,2610,5.92,5.96,3.44
0.31,Ideal,I,IF,62.2,54.0,837,4.39,4.36,2.72
0.45,Ideal,D,VS1,62.3,56.0,1330,4.88,4.91,3.05
2.05,Very Good,I,SI2,62.8,56.0,14071,8.1,8.12,5.09
0.75,Premium,E,VS2,62.1,57.0,3024,5.9,5.79,3.63
0.3,Very Good,H,VVS2,62.0,55.0,533,4.28,4.32,2.67
1.21,Ideal,H,VVS1,62.8,55.0,8286,6.78,6.82,4.27
0.72,Ideal,F,VS2,61.1,56.0,2607,5.83,5.79,3.55
0.31,Ideal,G,VVS2,62.7,57.0,660,4.32,4.35,2.72
0.71,Ideal,F,SI1,61.6,56.0,2416,5.71,5.75,3.53
0.37,Premium,D,VS1,60.2,60.0,803,4.63,4.68,2.8
1.16,Ideal,I,VS2,61.5,57.0,5207,6.75,6.78,4.16
1.01,Ideal,E,SI1,61.1,55.0,6132,6.47,6.52,3.97
0.4,Very Good,G,VS1,60.8,59.0,791,4.75,4.83,2.91
0.55,Ideal,J,SI1,62.5,57.0,1059,5.24,5.22,3.27
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6
0.72,Ideal,G,VS1,61.4,56.0,3478,5.75,5.79,3.55
1.01,Premium,G,VS2,62.1,60.0,5839,6.35,6.37,3.95
0.5,Fair,H,VS2,56.3,65.0,1332,5.24,5.21,2.94
0.42,Ideal,H,IF,61.0,56.0,1213,4.82,4.79,2.93
0.6,Premium,E,SI1,61.9,58.0,1738,5.39,5.43,3.35
1.5,Very Good,F,VS2,63.9,57.0,13037,7.16,7.23,4.6
0.41,Ideal,H,VS2,61.5,55.0,743,4.78,4.81,2.95
0.7,Fair,G,SI2,58.6,56.0,2208,5.8,5.74,3.38
1.01,Premium,F,VS2,60.4,59.0,6271,6.52,6.46,3.92
0.9,Ideal,I,VVS2,61.9,55.0,4011,6.21,6.23,3.85
1.08,Ideal,J,SI2,61.8,57.0,3537,6.56,6.58,4.06
1.07,Ideal,E,SI2,62.4,57.0,4698,6.55,6.52,4.08
0.31,Very Good,G,VVS1,61.9,55.0,642,4.36,4.4,2.71
0.41,Ideal,F,VVS2,61.4,57.0,1323,4.77,4.81,2.94
0.41,Ideal,G,IF,61.7,56.0,1431,4.8,4.77,2.95
1.61,Very Good,J,VS2,61.7,59.0,7703,7.46,7.51,4.62
2.03,Very Good,I,VS2,61.4,59.0,15826,8.06,8.12,4.97
0.26,Good,F,VVS1,63.3,57.0,564,4.05,4.07,2.57
1.0,Ideal,I,VS1,60.4,55.0,5385,6.49,6.52,3.93
0.4,Ideal,G,VS1,62.8,56.0,1125,4.7,4.67,2.94
0.42,Very Good,H,VS2,62.9,56.0,773,4.72,4.79,2.99
0.39,Premium,D,VS2,61.4,60.0,958,4.7,4.72,2.89
1.21,Very Good,G,VS2,63.1,60.0,7416,6.72,6.66,4.22
1.04,Ideal,G,VVS2,61.5,57.0,9465,6.51,6.54,4.01
0.21,Premium,E,SI2,61.9,56.0,394,3.84,3.82,2.37
0.33,Ideal,G,IF,61.8,54.0,946,4.47,4.49,2.77
0.51,Ideal,E,VS2,61.7,54.0,1781,5.18,5.13,3.18
0.37,Ideal,E,VVS2,62.5,53.0,896,4.59,4.63,2.88
0.71,Ideal,F,SI2,61.5,55.0,2668,5.78,5.75,3.54
0.79,Very Good,E,VVS1,63.1,60.0,3796,5.88,5.84,3.7
0.7,Premium,H,VVS2,62.1,58.0,2536,5.71,5.66,3.53
1.0,Good,H,SI2,63.7,58.0,3472,6.28,6.15,3.96
1.22,Fair,F,SI2,65.0,56.0,4705,6.71,6.8,4.39
2.01,Premium,E,SI2,58.7,54.0,16064,8.27,8.2,4.83
0.5,Ideal,E,VS2,61.6,55.0,1624,5.09,5.14,3.15
2.32,Ideal,G,SI2,61.0,58.0,18532,8.5,8.54,5.2
1.34,Ideal,G,VS2,61.9,56.0,9233,7.05,7.1,4.38
0.41,Ideal,G,VS2,61.7,54.0,811,4.78,4.81,2.96
0.33,Ideal,H,IF,62.1,55.0,868,4.41,4.44,2.75
0.71,Ideal,D,SI1,62.0,55.0,3252,5.71,5.76,3.56
0.9,Fair,I,VVS1,63.5,57.0,4194,5.98,6.09,3.83
2.02,Ideal,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
0.93,Very Good,D,SI2,62.6,57.0,4214,6.2,6.26,3.9
0.5,Good,E,SI1,64.6,54.0,1232,4.95,5.05,3.23
1.05,Ideal,G,VS1,61.2,57.0,8022,6.51,6.55,4.0
0.61,Ideal,G,VS2,61.4,55.7,1821,5.43,5.53,3.37
1.0,Very Good,I,SI1,63.2,56.0,4088,6.37,6.31,4.01
0.3,Ideal,E,VS2,61.8,56.0,658,4.29,4.32,2.66
0.3,Ideal,D,VS2,62.0,55.0,911,4.34,4.31,2.68
0.42,Ideal,D,VS2,62.1,54.0,1031,4.8,4.83,2.99
0.72,Very Good,F,VS1,63.3,57.0,3219,5.68,5.75,3.62
1.62,Good,H,VS2,61.5,60.8,12429,7.48,7.53,4.62
1.07,Ideal,H,SI1,62.0,57.0,4830,6.51,6.56,4.05
1.0,Premium,G,SI1,62.7,59.0,5292,6.36,6.31,3.97
0.92,Premium,D,SI1,62.3,58.0,4274,6.27,6.21,3.89
0.36,Ideal,E,SI1,62.1,56.0,631,4.56,4.59,2.84
1.6,Premium,J,VS1,62.6,59.0,7903,7.51,7.4,4.66
0.41,Ideal,F,VVS2,62.6,55.0,1115,4.73,4.76,2.97
1.2,Premium,I,SI1,61.1,58.0,5510,6.88,6.8,4.18
0.71,Good,G,SI1,63.6,56.0,2428,5.65,5.67,3.6
1.7,Ideal,I,VS1,60.1,57.0,12209,7.8,7.77,4.68
0.71,Ideal,D,VS1,60.4,60.0,3576,5.77,5.82,3.5
1.01,Very Good,F,VS2,63.3,57.0,6533,6.41,6.33,4.03
0.92,Ideal,G,SI2,63.0,57.0,3697,6.16,6.13,3.87
1.02,Premium,G,VS2,62.6,59.0,5978,6.39,6.43,4.01
0.51,Ideal,E,VS2,61.8,56.0,1781,5.14,5.12,3.17
1.02,Ideal,H,SI1,60.0,59.0,4724,6.56,6.55,3.93
0.56,Ideal,G,SI1,62.5,56.0,1441,5.28,5.21,3.28
1.5,Fair,J,I1,68.8,57.0,4284,6.94,6.87,4.75
1.24,Ideal,G,SI1,62.7,56.0,4916,6.89,6.85,4.31
1.29,Ideal,G,VS2,62.9,57.0,7080,6.91,6.89,4.34
0.44,Ideal,D,VVS1,60.6,56.0,2290,4.95,4.99,3.01
0.3,Very Good,H,VS1,62.3,56.0,541,4.29,4.32,2.68
0.54,Ideal,H,SI1,62.1,56.0,1178,5.18,5.26,3.24
0.41,Premium,F,VS2,62.6,57.0,1107,4.74,4.71,2.96
1.51,Very Good,D,VS1,62.8,57.0,15513,7.23,7.29,4.56
0.3,Premium,G,VVS2,62.9,58.0,819,4.29,4.26,2.69
0.3,Ideal,F,VVS1,61.8,54.0,857,4.34,4.36,2.69
0.61,Very Good,E,SI1,63.3,60.0,1726,5.36,5.29,3.37
1.1,Premium,F,VS2,61.1,57.0,7115,6.71,6.65,4.08
0.71,Ideal,G,VS1,61.8,57.0,3431,5.69,5.73,3.53
0.23,Very Good,E,VVS2,60.8,61.0,505,3.91,3.94,2.39
0.55,Ideal,F,VS2,62.7,55.0,1698,5.26,5.24,3.29
1.06,Premium,G,SI2,61.9,60.0,4571,6.53,6.52,4.04
1.51,Ideal,J,VS2,61.7,57.0,7847,7.44,7.4,4.58
1.25,Ideal,J,VVS2,61.1,57.0,5975,6.91,6.94,4.23
0.37,Ideal,G,IF,61.5,56.0,1056,4.6,4.64,2.84
0.24,Very Good,E,VVS2,59.7,60.0,485,4.08,4.1,2.44
1.02,Ideal,G,VS2,61.4,55.0,6499,6.48,6.51,3.99
0.41,Ideal,G,VS2,61.4,55.0,827,4.75,4.8,2.93
2.47,Ideal,J,SI2,62.1,57.0,15430,8.64,8.57,5.34
1.21,Ideal,F,VVS1,59.8,60.0,12230,6.95,6.89,4.14
0.7,Premium,F,VS1,61.7,60.0,2669,5.67,5.64,3.49
0.3,Premium,E,VS2,62.5,58.0,844,4.31,4.26,2.68
0.36,Very Good,H,VS1,61.6,59.0,631,4.52,4.57,2.8
0.81,Ideal,G,VS1,62.3,57.0,3544,5.99,5.95,3.72
0.2,Premium,D,VS2,61.7,60.0,367,3.77,3.72,2.31
1.02,Premium,D,SI2,60.9,61.0,4381,6.39,6.31,3.87
0.4,Very Good,G,IF,61.2,57.0,1220,4.77,4.79,2.92
0.91,Very Good,E,SI2,60.0,60.0,3438,6.23,6.28,3.75
1.2,Ideal,G,VVS1,62.2,57.0,9009,6.77,6.81,4.22
0.41,Premium,G,VVS1,59.7,60.0,1148,4.85,4.83,2.89
1.26,Premium,D,SI2,61.9,58.0,5412,6.88,6.81,4.24
0.41,Premium,G,VS1,61.9,58.0,899,4.75,4.78,2.95
1.5,Premium,E,VS1,60.3,60.0,16409,7.34,7.43,4.45
1.08,Very Good,G,VVS2,63.1,56.0,7862,6.58,6.51,4.13
1.5,Premium,E,SI2,60.8,59.0,9157,7.34,7.36,4.47
0.35,Premium,E,SI1,59.7,60.0,614,4.53,4.58,2.72
0.37,Ideal,G,IF,61.4,55.0,1056,4.63,4.66,2.85
1.0,Premium,E,SI2,61.0,59.0,3752,6.4,6.33,3.89
1.04,Premium,E,VVS1,60.9,58.0,11382,6.61,6.53,4.0
1.12,Fair,G,VS1,64.8,56.0,5487,6.48,6.52,4.21
0.54,Very Good,E,VVS2,63.3,60.0,1955,5.1,5.17,3.25
1.11,Ideal,H,SI2,61.5,55.0,4883,6.65,6.69,4.1
1.5,Good,E,I1,62.4,64.0,4989,7.22,7.26,4.52
0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
0.39,Very Good,E,VS1,59.7,56.0,883,4.8,4.85,2.88
1.03,Very Good,F,SI1,61.5,59.0,4996,6.42,6.49,3.97
0.7,Very Good,G,VS2,60.6,60.0,2507,5.67,5.78,3.47
0.4,Premium,G,VS1,60.7,58.0,877,4.78,4.81,2.91
0.41,Ideal,D,VS2,59.7,57.0,1177,4.87,4.84,2.9
1.2,Ideal,G,VS1,61.7,56.0,5766,6.84,6.77,4.2
1.12,Good,J,SI1,63.7,61.0,3951,6.54,6.5,4.15
2.01,Good,I,SI1,59.4,63.0,14597,8.18,8.26,4.88
0.7,Premium,E,VS1,59.6,57.0,2818,5.91,5.83,3.5
0.52,Very Good,G,VS2,62.6,58.0,1423,5.08,5.11,3.19
0.38,Ideal,F,SI1,61.7,56.0,766,4.68,4.72,2.9
1.22,Ideal,F,VS1,62.6,55.0,9581,6.82,6.86,4.28
1.02,Very Good,G,SI2,63.1,60.0,4370,6.41,6.34,4.02
1.11,Good,D,VS2,63.2,57.0,7863,6.61,6.64,4.18
0.38,Ideal,D,SI2,61.1,56.0,633,4.65,4.71,2.86
0.9,Good,G,VVS2,62.6,63.0,4485,6.1,6.14,3.83
1.82,Very Good,F,SI1,63.2,56.0,14545,7.71,7.64,4.85
1.11,Premium,H,I1,61.0,59.0,3263,6.67,6.61,4.05
1.02,Premium,H,SI1,59.2,58.0,4754,6.6,6.57,3.9
0.5,Very Good,E,SI2,62.4,57.0,1154,5.03,5.07,3.15
1.5,Good,D,SI1,56.6,64.0,7980,7.51,7.43,4.23
0.33,Ideal,E,VVS2,60.7,55.0,898,4.49,4.5,2.73
1.01,Ideal,E,SI2,62.4,56.0,4808,6.43,6.39,4.0
1.01,Premium,D,VS2,60.0,59.0,7508,6.53,6.48,3.9
1.51,Very Good,H,SI2,60.8,58.0,7723,7.4,7.51,4.53
0.66,Ideal,D,VVS2,61.6,57.0,3103,5.57,5.64,3.45
1.01,Ideal,G,VS1,61.8,57.0,6618,6.45,6.4,3.97
0.72,Ideal,I,VS2,61.6,55.0,2312,5.76,5.78,3.55
1.5,Premium,J,VS2,61.7,56.0,7308,7.33,7.23,4.49
1.08,Premium,G,VS1,63.0,59.0,7523,6.56,6.5,4.11
0.33,Ideal,E,SI1,62.0,54.0,743,4.43,4.41,2.74
1.1,Very Good,F,SI2,59.1,57.0,4715,6.72,6.82,4.0
0.32,Premium,I,VS1,59.8,60.0,648,4.46,4.44,2.66
1.01,Premium,H,SI1,59.2,58.0,3417,6.58,6.56,3.89
